HourUTC,HourDK,PriceArea,TotalLoad,Biomass,FossilGas,FossilHardCoal,FossilOil,HydroPower,OtherRenewable,SolarPower,Waste,OnshoreWindPower,OffshoreWindPower,ExchangeContinent,ExchangeGreatBelt,ExchangeNordicCountries
2022-01-03T14:00:00+00:00,2022-01-03T15:00:00,DK1,3101.16,318.85,203.83,499.5,11.39,2,3.19,8.77,91.31,2961.53,1163.81,381,-588,-1818
2022-01-03T14:00:00+00:00,2022-01-03T15:00:00,DK2,1919.49,494.16,56.16,91.05,26.18,,,5.4,80.8,508.01,917.28,-423,588,-378
2022-01-03T15:00:00+00:00,2022-01-03T16:00:00,DK1,3183.5,322.07,228.97,560.25,11.54,2,2.99,0.94,91.58,2996.87,1137.58,394,-591,-1824
2022-01-03T15:00:00+00:00,2022-01-03T16:00:00,DK2,2016.28,505.24,76.7,124.45,32.59,,,0,82.27,501.32,897.31,-445,591,-308
2022-01-03T16:00:00+00:00,2022-01-03T17:00:00,DK1,3366.46,308.78,253.85,719.68,11.76,2,3.25,0.82,92.55,3027.2,1167.64,282,-591,-1805
2022-01-03T16:00:00+00:00,2022-01-03T17:00:00,DK2,2168.48,531.6,89.45,142.37,36.04,,,0,84.06,544.29,902.72,-460,591,-247
2022-01-03T17:00:00+00:00,2022-01-03T18:00:00,DK1,3214.56,203.4,267,635.78,11.92,2,3.26,0.82,90.62,2897.89,1116.39,270,-591,-1511
2022-01-03T17:00:00+00:00,2022-01-03T18:00:00,DK2,2111.67,502.89,89.82,142.33,36.03,,,0,81.99,546.19,883.89,-483,591,-234
2022-01-03T18:00:00+00:00,2022-01-03T19:00:00,DK1,3021.29,230.33,235.6,480.13,11.36,2,3.19,0.82,92.49,2305.3,1179.44,415,-590,-1012
2022-01-03T18:00:00+00:00,2022-01-03T19:00:00,DK2,1951.21,494.6,89.15,141.23,35.81,,,0,83.99,539.18,833.5,-580,590,-228
2022-01-03T19:00:00+00:00,2022-01-03T20:00:00,DK1,2779.78,213.64,218.83,573.13,11.25,2.07,3.17,0.82,92.07,1858.75,1094.92,361,-564,-868
2022-01-03T19:00:00+00:00,2022-01-03T20:00:00,DK2,1805.97,487.45,72.93,114.83,30.74,,,0,80.52,525.41,860.39,-582,564,-272
2022-01-03T20:00:00+00:00,2022-01-03T21:00:00,DK1,2640.67,330.59,231.43,650.59,11.51,2.09,3.2,0.82,92.69,1463.97,771.27,376,-538,-641
